date,ADA-USD,BNB-USD,BTC-USD,BUSD-USD,DOGE-USD,DOT-USD,ETH-USD,LTC-USD,MATIC-USD,SHIB-USD,SOL-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD,ada_usd_0,bnb_usd_0,btc_usd_0,busd_usd_0,doge_usd_0,dot_usd_0,eth_usd_0,ltc_usd_0,matic_usd_0,shib_usd_0,sol_usd_0,trx_usd_0,usdc_usd_0,usdt_usd_0,xrp_usd_0,Crude Oil,Gold,S&P 500,13 Week Treasury Bill,RSI,MACD,MACD_Signal,MACD_Histogram,%K,%D
1/13/2022,-5.626591018,-2.490325612,-3.137582795,0.046799305,6.22985517,-5.610689539,-3.745437377,-3.665035957,-5.554539482,-6.453854387,-3.824999702,-2.665120308,-0.077448135,0.011487784,-3.982979117,-2.602976,-2.181087,-2.098527,0.00483416,-2.607622,-2.856979,-2.859425,-2.549135,-3.209166,-2.567113,-3.286498,-1.497589,0.000571858,-0.00402141,-2.161352,-0.631219183,-0.328911609,-1.434602923,-4.445178613,36.07091862358748,0.0,0.0,0.0,32.21546614318935,0.0
1/14/2022,4.577900526,3.075871253,1.18596647,-0.005792842,6.473725117,7.040307995,1.882036684,5.751053539,3.234763548,3.278983456,0.101986723,2.080134242,0.100946248,-0.012190917,0.773877993,0.7358727,0.5039917,0.4740363,-0.00803528,0.647201,1.153315,0.8212257,0.6822204,0.769646,0.3549605,0.4100711,0.1918654,0.00458771,-0.0014298,0.6553824,2.049001326,-0.258402499,0.081964427,7.020427015,40.37258043955161,0.0,0.0,0.0,40.85585572527272,0.0
1/15/2022,0.412571911,1.039884965,0.180115562,-0.101542438,0.843075094,0.086455483,0.618304726,2.195446887,0.680646795,0.0,1.117272293,1.289201846,-0.055213226,0.035877325,0.916106198,0.072074,-0.0496726,-0.0145066,0.00190477,0.0578785,-0.039057,-0.0452577,-0.0285335,-0.1041769,0.017828,0.1894293,-0.0601283,-0.002102,0.000349087,-0.0707316,0.0,0.0,0.0,0.0,41.0260501328709,0.0,0.0,0.0,41.81690452515753,38.29607546453987
1/16/2022,8.215266262,0.692532364,-0.147221236,0.045330876,-4.376884123,-0.258853303,0.610381535,-0.953722314,-1.019369056,0.0,0.037437637,1.920339515,0.021013355,-0.022482889,-0.316455017,-0.0108853,0.00514415,0.0112233,-0.00100104,0.0318288,0.00572305,0.014523,0.00903425,-0.0300215,0.0338629,-0.00380058,0.0130974,0.000717543,0.000296946,0.0163279,0.0,0.0,0.0,0.0,40.63399756614899,0.0,0.0,0.0,43.0028701291862,41.89187679320548
1/17/2022,12.46905995,-4.665082981,-2.02275717,0.206180905,-3.463239002,-7.261801707,-4.224676784,3.443704223,-4.739767066,-6.669133606,-5.512857109,1.306668218,-0.00129979,-0.00489758,-2.103221859,0.00876045,0.00616655,0.00347386,0.000163212,0.00527358,0.00696866,0.00753421,0.00142838,0.0101175,-0.0101179,0.013898,0.00278181,-0.000365813,-5.32e-05,0.00396144,0.0,0.0,0.0,0.0,35.64778858322187,0.0,0.0,0.0,32.246886026464026,39.02222022693592
1/18/2022,-8.410429464,-0.78184319,0.295610926,-0.217088261,-3.363066746,-2.194448797,-1.514372915,-6.663160532,-4.300540287,-3.509133101,1.180191818,-3.313122572,0.04260404,0.005195478,-1.33447335,-2.822453,-2.103456,-2.235757,-0.0122064,-2.839376,-2.651807,-2.729797,-2.659258,-3.573465,-3.025196,-3.621134,-1.730724,0.0035295,-0.00843364,-2.216789,1.902569188,-0.231478891,-1.85591054,9.684978325,36.856747641089356,0.0,0.0,0.0,36.15942481409311,37.13639365658111
1/19/2022,-8.824446791,-1.964700919,-1.500991044,-0.027920856,-1.908904351,-4.217287544,-2.179026831,-3.568475389,-4.441249166,-3.63676562,-4.178853475,1.155592177,0.022597154,0.006994403,-1.72641204,-2.012093,-0.0163553,-0.835713,-0.0234711,-1.078252,-1.641749,-0.9464171,-1.115022,-1.694047,-1.43177,-2.428397,-0.7873344,0.0143876,-0.00515589,-1.004375,1.775090155,1.685213956,-0.973679094,23.84110999,33.44192495593923,0.0,0.0,0.0,43.45877558277567,37.28836214111093
1/20/2022,-6.441313816,-5.055563664,-2.58167431,0.09374051,-4.505111213,-4.860047136,-3.106913788,-4.90344776,-3.784154814,-3.774034094,-6.532497542,-2.252338207,0.008091305,-0.023284799,-2.786419664,-1.83452,-1.349708,-1.552794,0.0131966,-1.898022,-1.791947,-1.968506,-1.678106,-2.214662,-2.158124,-2.603598,-0.8625617,-0.00296286,-0.00608607,-1.494105,-0.069018245,-0.032557825,-1.10987423,1.801845228,28.628062003111438,0.0,0.0,0.0,19.72059190101747,33.11293076596208
1/21/2022,-11.33557558,-13.85591162,-10.96046829,0.099136557,-8.441643245,-15.69481752,-15.97866123,-13.0708253,-14.31008343,-16.70540656,-12.76064306,-10.62827278,0.002895551,-0.007997208,-12.36602096,-3.314842,-2.811776,-2.939879,0.0163257,-3.409088,-3.52125,-3.951475,-2.980443,-3.990059,-3.482841,-4.28945,-2.01555,0.000736247,-0.00511199,-2.651511,-2.04610966,-0.582422844,-1.909599532,-6.136888687,17.722645464199076,0.0,0.0,0.0,7.846010739776063,23.675126074523067
1/22/2022,-5.162637064,-6.742640023,-3.993018884,-0.059856193,-7.078718492,-7.482798517,-6.15737551,-5.353905286,-10.43591341,-4.652003138,-17.30052492,-7.183729437,-0.040891039,-0.001907029,-6.447545618,0.2768818,0.2376416,0.0498783,0.000262721,0.2627551,0.4608152,0.1166895,0.4758123,0.5109175,0.141602,-0.00532785,0.0635404,0.00324462,-6.77e-05,0.403699,0.0,0.0,0.0,0.0,15.564927176422003,0.0,0.0,0.0,6.8585780221474915,11.47506022098034
